eventID,Agency,year,month,day,hour,minute,second,timeError,longitude,latitude,SemiMajor90,SemiMinor90,ErrorStrike,depth,depthError,magnitude,sigmaMagnitude,magnitudeType
,,1939,6,28,11,32,22.0,,-48.0,-29.0,,,,0.0,,5.5999999999999996,0.40000000000000002,
,,1949,9,17,0,0,0.0,,-51.840000000000003,3.8300000000000001,,,,0.0,,5.0,0.40000000000000002,
,,1955,1,31,5,3,6.0,,-57.350000000000001,-12.52,,,,0.0,,6.0,0.33000000000000002,
,,1955,3,1,1,46,18.0,,-36.75,-19.84,,,,0.0,,6.0999999999999996,0.29999999999999999,
,,1957,4,16,18,17,12.0,,-67.0,-9.5,,,,0.0,,6.0999999999999996,0.29999999999999999,
,,1961,10,3,20,35,54.0,,-63.0,0.40000000000000002,,,,0.0,,3.7000000000000002,0.29999999999999999,
,,1963,10,2,0,0,0.0,,-36.240000000000002,-5.6900000000000004,,,,0.0,,3.6000000000000001,0.59999999999999998,
,,1963,12,14,0,5,41.0,,-61.020000000000003,-2.3599999999999999,,,,45.0,,5.0,0.29999999999999999,
,,1964,2,13,11,21,46.0,,-56.689999999999998,-18.059999999999999,,,,5.0,,5.0999999999999996,0.33000000000000002,
,,1964,6,19,3,56,20.0,,-59.619999999999997,2.6400000000000001,,,,0.0,,4.2999999999999998,0.29999999999999999,
,,1965,8,15,19,36,56.0,,-60.119999999999997,2.6800000000000002,,,,0.0,,4.7000000000000002,0.29999999999999999,
,,1967,1,21,18,59,48.0,,-35.979999999999997,-8.1999999999999993,,,,0.0,,3.5,0.33000000000000002,
,,1967,3,23,21,12,15.0,,-45.0,-23.300000000000001,,,,0.0,,3.7999999999999998,0.33000000000000002,
,,1967,8,9,7,14,8.0,,-73.829999999999998,-8.4499999999999993,,,,42.0,,5.0,0.29999999999999999,
,,1967,8,18,21,24,24.0,,-60.600000000000001,-21.300000000000001,,,,0.0,,4.5,0.29999999999999999,
,,1968,1,13,1,55,51.0,,-38.439999999999998,-6.0899999999999999,,,,0.0,,3.7000000000000002,0.33000000000000002,
,,1968,2,23,14,23,2.0,,-38.439999999999998,-6.0899999999999999,,,,0.0,,4.2999999999999998,0.33000000000000002,
,,1968,8,27,5,17,36.0,,-72.890000000000001,-8.9000000000000004,,,,26.0,,4.7000000000000002,0.29999999999999999,
,,1968,10,15,19,54,20.0,,-60.880000000000003,-26.870000000000001,,,,20.0,,3.6000000000000001,0.59999999999999998,
,,1969,3,5,16,28,55.0,,-60.600000000000001,-23.100000000000001,,,,0.0,,3.7999999999999998,0.29999999999999999,
,,1970,1,12,4,43,8.0,,-48.479999999999997,-1.3200000000000001,,,,0.0,,4.0,0.33000000000000002,
,,1970,1,29,0,0,0.0,,-36.210000000000001,-7.96,,,,0.0,,3.6000000000000001,0.59999999999999998,
,,1970,3,29,8,27,48.0,,-73.379999999999995,-8.2899999999999991,,,,25.0,,4.0999999999999996,0.29999999999999999,
,,1970,8,14,4,59,1.0,,-49.100000000000001,-13.5,,,,0.0,,4.0999999999999996,0.29999999999999999,
,,1970,11,1,0,0,0.0,,-35.530000000000001,-6.9299999999999997,,,,0.0,,3.6000000000000001,0.59999999999999998,
,,1970,11,20,23,55,21.0,,-49.100000000000001,-13.5,,,,0.0,,3.6000000000000001,0.59999999999999998,
,,1971,5,21,16,0,0.0,,-48.899999999999999,-25.100000000000001,,,,0.0,,3.6000000000000001,0.59999999999999998,
,,1971,7,16,19,51,4.0,,-49.100000000000001,-13.5,,,,0.0,,3.6000000000000001,0.59999999999999998,
,,1971,8,5,2,30,0.0,,-34.899999999999999,-8.0399999999999991,,,,0.0,,3.6000000000000001,0.59999999999999998,
,,1971,8,8,13,32,39.0,,-44.75,-20.280000000000001,,,,0.0,,3.6000000000000001,0.59999999999999998,
,,1972,1,23,3,3,51.0,,-44.75,-20.280000000000001,,,,0.0,,3.2999999999999998,0.33000000000000002,
,,1972,1,29,3,34,46.0,,-51.0,-16.0,,,,0.0,,3.2999999999999998,0.33000000000000002,
,,1972,8,1,0,0,0.0,,-41.700000000000003,-16.469999999999999,,,,0.0,,3.6000000000000001,0.59999999999999998,
,,1972,10,24,15,36,36.0,,-40.530000000000001,-21.719999999999999,,,,8.0,,4.5999999999999996,0.33000000000000002,
,,1973,4,26,14,15,2.0,,-35.82,-5.2800000000000002,,,,0.0,,3.3999999999999999,0.33000000000000002,
,,1973,7,22,21,22,50.0,,-35.82,-5.2800000000000002,,,,0.0,,4.0,0.33000000000000002,
,,1974,2,3,20,20,23.0,,-42.539999999999999,-29.5,,,,0.0,,4.2000000000000002,0.29999999999999999,
,,1974,2,24,3,19,40.0,,-48.469999999999999,-20.039999999999999,,,,0.0,,3.7999999999999998,0.33000000000000002,
,,1974,4,11,0,0,0.0,,-41.640000000000001,-16.420000000000002,,,,0.0,,3.1000000000000001,0.40000000000000002,
,,1974,6,12,17,39,16.0,,-60.600000000000001,5.5800000000000001,,,,0.0,,3.6000000000000001,0.29999999999999999,
,,1974,10,20,21,37,32.0,,-36.060000000000002,-7.9900000000000002,,,,0.0,,3.1000000000000001,0.33000000000000002,
,,1975,2,4,19,1,17.0,,-61.479999999999997,5.9900000000000002,,,,0.0,,3.3999999999999999,0.29999999999999999,
,,1975,3,30,17,6,0.0,,-42.399999999999999,-23.399999999999999,,,,0.0,,3.2000000000000002,0.29999999999999999,
,,1975,6,22,14,4,44.0,,-70.299999999999997,1.5,,,,0.0,,3.2000000000000002,0.29999999999999999,
,,1975,12,8,8,21,26.0,,-44.159999999999997,-24.940000000000001,,,,0.0,,3.1000000000000001,0.29999999999999999,
,,1976,1,5,13,6,58.0,,-50.460000000000001,-15.35,,,,0.0,,3.3999999999999999,0.33000000000000002,
,,1976,2,22,3,24,50.0,,-59.229999999999997,0.34000000000000002,,,,5.0,,4.4000000000000004,0.29999999999999999,
,,1976,4,16,0,0,0.0,,-50.979999999999997,-22.73,,,,0.0,,3.3999999999999999,0.59999999999999998,
,,1976,5,18,8,30,0.0,,-39.630000000000003,-14.880000000000001,,,,0.0,,3.0,0.40000000000000002,
,,1976,5,25,8,30,0.0,,-39.57,-14.76,,,,0.0,,3.2999999999999998,0.40000000000000002,
,,1976,6,16,20,0,0.0,,-51.009999999999998,-22.84,,,,0.0,,3.6000000000000001,0.59999999999999998,
,,1976,7,29,18,0,0.0,,-38.799999999999997,-4.8300000000000001,,,,0.0,,3.1000000000000001,0.59999999999999998,
,,1976,8,11,20,0,0.0,,-39.600000000000001,-14.84,,,,0.0,,3.1000000000000001,0.59999999999999998,
,,1976,10,8,20,1,12.0,,-59.799999999999997,-2.0,,,,0.0,,3.7000000000000002,0.33000000000000002,
,,1977,3,12,7,0,0.0,,-38.799999999999997,-4.8300000000000001,,,,0.0,,3.6000000000000001,0.59999999999999998,
,,1977,6,19,3,3,30.0,,-42.600000000000001,-23.300000000000001,,,,0.0,,3.2000000000000002,0.29999999999999999,
,,1977,8,2,17,45,52.0,,-49.969999999999999,-0.080000000000000002,,,,0.0,,4.5999999999999996,0.29999999999999999,
,,1978,2,10,0,0,0.0,,-36.030000000000001,-6.2800000000000002,,,,0.0,,3.0,0.40000000000000002,
,,1978,3,19,5,33,27.0,,-48.5,-24.960000000000001,,,,0.0,,3.0,0.33000000000000002,
,,1978,4,18,0,0,0.0,,-61.939999999999998,-10.890000000000001,,,,0.0,,3.1000000000000001,0.59999999999999998,
,,1979,1,16,5,38,24.0,,-58.700000000000003,-24.0,,,,0.0,,3.7000000000000002,0.29999999999999999,
,,1979,1,21,17,49,36.0,,-56.359999999999999,-21.02,,,,0.0,,3.2999999999999998,0.29999999999999999,
,,1979,3,27,12,54,45.0,,-51.009999999999998,-22.84,,,,0.0,,3.2000000000000002,0.33000000000000002,
,,1979,8,22,23,1,40.0,,-49.950000000000003,-15.26,,,,0.0,,3.2000000000000002,0.33000000000000002,
,,1979,12,8,5,5,50.0,,-55.799999999999997,-20.0,,,,0.0,,3.5,0.29999999999999999,
,,1980,3,6,9,46,18.0,,-71.159999999999997,-6.1699999999999999,,,,18.0,,4.5999999999999996,0.29999999999999999,
,,1980,4,23,16,11,30.0,,-40.0,-26.5,,,,0.0,,3.2000000000000002,0.29999999999999999,
,,1980,5,22,15,30,0.0,,-48.619999999999997,-26.989999999999998,,,,0.0,,3.2000000000000002,0.29999999999999999,
,,1980,9,3,1,36,3.0,,-60.0,-3.2999999999999998,,,,0.0,,3.1000000000000001,0.29999999999999999,
,,1980,11,5,1,22,42.0,,-50.299999999999997,-5.7999999999999998,,,,0.0,,3.2000000000000002,0.29999999999999999,
,,1980,11,12,21,23,5.0,,-50.240000000000002,-8.0700000000000003,,,,0.0,,4.5,0.29999999999999999,
,,1980,11,20,3,29,44.0,,-38.399999999999999,-4.2999999999999998,,,,5.0,,5.2000000000000002,0.33000000000000002,
,,1980,11,21,1,29,7.0,,-58.25,-26.25,,,,0.0,,3.5,0.29999999999999999,
,,1980,12,14,0,0,0.0,,-56.200000000000003,-16.600000000000001,,,,0.0,,3.0,0.40000000000000002,
,,1981,1,6,19,51,58.0,,-47.5,-5.0,,,,0.0,,3.1000000000000001,0.29999999999999999,
,,1981,1,12,3,33,8.0,,-38.399999999999999,-4.2999999999999998,,,,0.0,,3.5,0.33000000000000002,
,,1981,1,18,16,19,50.0,,-46.700000000000003,-20.710000000000001,,,,0.0,,3.0,0.33000000000000002,
,,1981,2,17,8,0,0.0,,-70.400000000000006,-4.5,,,,0.0,,3.1000000000000001,0.29999999999999999,
,,1981,3,9,20,27,40.0,,-57.640000000000001,-11.01,,,,0.0,,3.5,0.29999999999999999,
,,1981,5,7,3,44,55.0,,-39.5,-22.600000000000001,,,,0.0,,3.3999999999999999,0.29999999999999999,
,,1981,9,15,4,26,12.0,,-53.0,-1.6000000000000001,,,,0.0,,3.6000000000000001,0.29999999999999999,
,,1982,1,30,16,42,37.0,,-34.0,-4.0,,,,0.0,,3.2000000000000002,0.29999999999999999,
,,1982,3,3,18,57,25.0,,-59.100000000000001,-16.5,,,,0.0,,3.2000000000000002,0.29999999999999999,
,,1982,3,12,17,14,43.0,,-41.630000000000003,-23.600000000000001,,,,0.0,,3.2000000000000002,0.29999999999999999,
,,1982,3,29,7,47,11.0,,-38.229999999999997,-9.3100000000000005,,,,0.0,,3.0,0.33000000000000002,
,,1982,4,8,5,58,52.0,,-58.100000000000001,-24.800000000000001,,,,12.0,,4.7000000000000002,0.33000000000000002,
,,1982,4,16,22,38,0.0,,-55.0,-22.199999999999999,,,,0.0,,3.1000000000000001,0.29999999999999999,
,,1982,9,17,12,28,41.0,,-45.420000000000002,-25.84,,,,0.0,,3.5,0.29999999999999999,
,,1983,2,8,18,38,15.0,,-60.18,-26.280000000000001,,,,0.0,,4.5999999999999996,0.29999999999999999,
,,1983,5,7,18,30,0.0,,-35.579999999999998,-8.6699999999999999,,,,0.0,,3.1000000000000001,0.59999999999999998,
,,1983,8,5,6,21,44.0,,-62.140000000000001,-3.5800000000000001,,,,23.0,,5.2999999999999998,0.33000000000000002,
,,1983,10,1,18,44,16.0,,-63.700000000000003,-11.4,,,,0.0,,3.2999999999999998,0.29999999999999999,
,,1983,11,23,15,51,49.0,,-52.0,4.2000000000000002,,,,0.0,,3.7000000000000002,0.29999999999999999,
,,1983,12,4,7,17,57.0,,-50.57,-3.1699999999999999,,,,0.0,,3.3999999999999999,0.29999999999999999,
,,1983,12,16,23,53,35.0,,-35.799999999999997,-8.3300000000000001,,,,0.0,,3.2000000000000002,0.29999999999999999,
,,1984,2,22,8,0,26.0,,-40.700000000000003,-23.469999999999999,,,,0.0,,3.3999999999999999,0.29999999999999999,
,,1984,4,8,20,56,0.0,,-46.759999999999998,-20.800000000000001,,,,0.0,,3.3999999999999999,0.33000000000000002,
,,1984,5,2,7,18,35.0,,-44.5,-24.300000000000001,,,,0.0,,3.3999999999999999,0.33000000000000002,
,,1984,5,25,8,36,34.0,,-43.350000000000001,-24.920000000000002,,,,0.0,,3.2000000000000002,0.29999999999999999,
,,1984,9,17,8,9,0.0,,-62.100000000000001,-10.699999999999999,,,,0.0,,3.1000000000000001,0.29999999999999999,
,,1984,11,8,12,5,35.0,,-35.920000000000002,-8.1799999999999997,,,,0.0,,3.3999999999999999,0.33000000000000002,
,,1984,11,21,20,15,23.0,,-50.700000000000003,-6.9000000000000004,,,,0.0,,3.3999999999999999,0.29999999999999999,
,,1985,4,12,14,34,57.0,,-60.549999999999997,-23.940000000000001,,,,21.0,,5.2000000000000002,0.29999999999999999,
,,1985,7,20,1,5,34.0,,-48.030000000000001,-13.09,,,,0.0,,3.3999999999999999,0.33000000000000002,
,,1986,1,14,20,14,26.0,,-50.32,-15.08,,,,0.0,,3.3999999999999999,0.33000000000000002,
,,1986,1,22,9,43,13.0,,-31.0,-3.5,,,,0.0,,3.2000000000000002,0.29999999999999999,
,,1986,6,14,6,25,30.0,,-60.539999999999999,-24.420000000000002,,,,0.0,,3.2000000000000002,0.29999999999999999,
,,1986,8,6,1,51,39.0,,-65.900000000000006,-4.5,,,,0.0,,3.5,0.29999999999999999,
,,1986,8,21,9,34,40.0,,-35.729999999999997,-5.5199999999999996,,,,0.0,,3.8999999999999999,0.29999999999999999,
,,1986,9,11,9,5,41.0,,-35.75,-5.5300000000000002,,,,0.0,,3.2999999999999998,0.29999999999999999,
,,1986,11,17,23,23,6.0,,-56.579999999999998,-11.56,,,,0.0,,3.2999999999999998,0.29999999999999999,
,,1986,11,30,5,19,50.0,,-35.759999999999998,-5.54,,,,5.0,,5.0,0.29999999999999999,
,,1986,12,24,7,5,25.0,,-35.75,-5.5300000000000002,,,,0.0,,3.5,0.29999999999999999,
,,1987,1,7,12,14,16.0,,-35.789999999999999,-5.5999999999999996,,,,0.0,,3.5,0.29999999999999999,
,,1987,2,3,23,51,56.0,,-35.729999999999997,-5.5,,,,0.0,,3.5,0.29999999999999999,
,,1987,4,28,4,59,17.0,,-35.75,-5.5300000000000002,,,,0.0,,3.2999999999999998,0.29999999999999999,
,,1987,7,29,7,18,28.0,,-43.5,-27.600000000000001,,,,0.0,,3.3999999999999999,0.29999999999999999,
,,1987,8,27,13,1,22.0,,-44.100000000000001,-25.0,,,,0.0,,3.2999999999999998,0.29999999999999999,
,,1987,10,14,1,8,19.0,,-55.149999999999999,-2.4300000000000002,,,,0.0,,3.2000000000000002,0.29999999999999999,
,,1987,10,15,9,1,41.0,,-56.899999999999999,-11.6,,,,0.0,,3.6000000000000001,0.29999999999999999,
,,1987,10,24,21,23,40.0,,-73.939999999999998,-7.0099999999999998,,,,0.0,,5.0999999999999996,0.29999999999999999,
,,1987,12,10,21,36,24.0,,-56.899999999999999,-11.5,,,,0.0,,3.2000000000000002,0.29999999999999999,
,,1988,1,19,23,41,36.0,,-49.899999999999999,-0.40000000000000002,,,,0.0,,3.5,0.29999999999999999,
,,1988,2,16,15,3,0.0,,-51.25,5.0199999999999996,,,,0.0,,3.3999999999999999,0.29999999999999999,
,,1988,4,1,0,36,34.0,,-40.369999999999997,-3.9500000000000002,,,,8.0,,3.7999999999999998,0.29999999999999999,
,,1988,4,5,3,0,51.0,,-51.340000000000003,-22.100000000000001,,,,0.0,,3.3999999999999999,0.33000000000000002,
,,1988,6,5,16,50,32.0,,-61.659999999999997,0.92000000000000004,,,,0.0,,3.5,0.29999999999999999,
,,1988,6,24,10,1,44.0,,-57.969999999999999,-20.66,,,,0.0,,3.6000000000000001,0.29999999999999999,
,,1988,6,26,3,24,22.0,,-52.729999999999997,-36.270000000000003,,,,18.0,,4.7000000000000002,0.29999999999999999,
,,1988,6,29,13,14,27.0,,-35.75,-5.5300000000000002,,,,0.0,,3.6000000000000001,0.29999999999999999,
,,1988,8,11,7,6,14.0,,-56.990000000000002,-11.619999999999999,,,,0.0,,3.3999999999999999,0.29999999999999999,
,,1988,8,11,8,6,17.0,,-57.950000000000003,-11.630000000000001,,,,0.0,,3.7000000000000002,0.29999999999999999,
,,1988,8,30,15,40,20.0,,-47.960000000000001,-6.0899999999999999,,,,0.0,,3.2000000000000002,0.29999999999999999,
,,1988,9,3,7,29,23.0,,-59.759999999999998,-3.1000000000000001,,,,0.0,,3.5,0.29999999999999999,
,,1988,10,19,2,15,51.0,,-37.979999999999997,-4.8099999999999996,,,,4.0,,3.8999999999999999,0.29999999999999999,
,,1988,12,10,9,52,19.0,,-59.380000000000003,-0.72999999999999998,,,,0.0,,3.5,0.29999999999999999,
,,1988,12,10,10,28,48.0,,-37.979999999999997,-4.8099999999999996,,,,0.0,,3.1000000000000001,0.29999999999999999,
,,1989,1,7,3,1,13.0,,-48.109999999999999,-11.619999999999999,,,,0.0,,3.5,0.29999999999999999,
,,1989,1,7,11,36,39.0,,-51.009999999999998,-22.93,,,,0.0,,3.2000000000000002,0.33000000000000002,
,,1989,1,15,12,45,18.0,,-37.969999999999999,-4.8099999999999996,,,,0.0,,3.2999999999999998,0.29999999999999999,
,,1989,3,9,1,44,5.0,,-40.689999999999998,-24.510000000000002,,,,0.0,,3.1000000000000001,0.29999999999999999,
,,1989,3,9,19,20,17.0,,-45.700000000000003,-19.399999999999999,,,,0.0,,3.1000000000000001,0.29999999999999999,
,,1989,3,10,4,11,20.0,,-35.689999999999998,-5.46,,,,8.0,,4.7999999999999998,0.29999999999999999,
,,1989,3,26,13,25,39.0,,-37.969999999999999,-4.8099999999999996,,,,4.0,,4.2999999999999998,0.29999999999999999,
,,1989,3,29,19,1,4.0,,-49.600000000000001,-13.609999999999999,,,,0.0,,3.2999999999999998,0.29999999999999999,
,,1989,5,6,19,55,46.0,,-35.689999999999998,-5.46,,,,0.0,,3.2999999999999998,0.29999999999999999,
,,1989,5,9,1,46,8.0,,-43.439999999999998,-20.300000000000001,,,,0.0,,3.1000000000000001,0.29999999999999999,
,,1989,5,26,22,55,28.0,,-37.969999999999999,-4.8099999999999996,,,,0.0,,3.7999999999999998,0.29999999999999999,
,,1989,6,6,12,25,31.0,,-64.75,-1.55,,,,0.0,,3.5,0.29999999999999999,
,,1989,8,1,17,20,19.0,,-59.280000000000001,-10.18,,,,0.0,,3.2999999999999998,0.29999999999999999,
,,1989,8,28,8,6,26.0,,-37.969999999999999,-4.8099999999999996,,,,0.0,,3.6000000000000001,0.29999999999999999,
,,1989,10,17,15,2,48.0,,-37.969999999999999,-4.8099999999999996,,,,0.0,,3.8999999999999999,0.29999999999999999,
,,1989,11,26,11,21,26.0,,-49.859999999999999,-0.23999999999999999,,,,0.0,,3.7000000000000002,0.29999999999999999,
,,1989,12,18,11,46,26.0,,-47.159999999999997,-19.949999999999999,,,,0.0,,3.1000000000000001,0.29999999999999999,
,,1990,1,19,22,5,15.0,,-47.159999999999997,-19.949999999999999,,,,0.0,,3.7000000000000002,0.33000000000000002,
,,1990,2,12,23,56,39.0,,-48.920000000000002,-31.190000000000001,,,,13.0,,5.0999999999999996,0.29999999999999999,
,,1990,8,21,5,12,41.0,,-48.270000000000003,-11.789999999999999,,,,0.0,,3.2000000000000002,0.29999999999999999,
,,1990,8,21,5,41,52.0,,-48.25,-11.91,,,,0.0,,3.2000000000000002,0.33000000000000002,
,,1990,9,24,15,25,18.0,,-35.850000000000001,-5.6500000000000004,,,,3.0,,3.3999999999999999,0.29999999999999999,
,,1991,4,19,10,12,48.0,,-39.869999999999997,-3.9300000000000002,,,,10.0,,4.7000000000000002,0.33000000000000002,
,,1991,4,26,14,14,29.0,,-35.689999999999998,-5.46,,,,0.0,,3.2000000000000002,0.29999999999999999,
,,1992,1,28,16,5,38.0,,-39.670000000000002,-20.989999999999998,,,,0.0,,3.2999999999999998,0.29999999999999999,
,,1992,2,1,17,24,30.0,,-44.420000000000002,-26.91,,,,0.0,,3.3999999999999999,0.29999999999999999,
,,1992,3,2,6,6,37.0,,-47.270000000000003,-20.010000000000002,,,,0.0,,3.2999999999999998,0.29999999999999999,
,,1992,4,24,3,9,30.0,,-45.759999999999998,-26.850000000000001,,,,0.0,,3.3999999999999999,0.29999999999999999,
,,1992,4,24,3,31,31.0,,-45.810000000000002,-26.77,,,,0.0,,3.6000000000000001,0.29999999999999999,
,,1992,6,9,22,22,24.0,,-43.840000000000003,-21.219999999999999,,,,0.0,,3.3999999999999999,0.29999999999999999,
,,1992,6,16,2,50,38.0,,-41.57,1.53,,,,0.0,,4.5,0.29999999999999999,
,,1992,12,9,16,21,0.0,,-46.329999999999998,-24.890000000000001,,,,0.0,,3.1000000000000001,0.29999999999999999,
,,1993,1,1,23,22,9.0,,-37.090000000000003,-6.7999999999999998,,,,0.0,,3.1000000000000001,0.29999999999999999,
,,1993,5,21,10,32,12.0,,-43.0,-23.91,,,,0.0,,3.2999999999999998,0.29999999999999999,
,,1993,6,5,5,51,1.0,,-57.299999999999997,-29.829999999999998,,,,0.0,,3.1000000000000001,0.29999999999999999,
,,1993,7,12,8,29,1.0,,-51.030000000000001,-14.789999999999999,,,,0.0,,3.8999999999999999,0.33000000000000002,
,,1993,9,25,20,27,27.0,,-37.07,-10.49,,,,0.0,,3.2000000000000002,0.29999999999999999,
,,1993,11,18,15,22,46.0,,-50.43,-5.2999999999999998,,,,0.0,,3.6000000000000001,0.29999999999999999,
